 index  precision    recall  acc_cell  acc_row
0       0        1.0  0.500000  0.000000     0.00
1       1        1.0  1.000000  1.000000     1.00
2       2        1.0  1.000000  0.250000     0.25
3       3        1.0  1.000000  1.000000     1.00
4       4        1.0  1.000000  1.000000     1.00
5       5        1.0  1.000000  1.000000     1.00
6       6        0.0  0.000000  0.000000     0.00
7       7        1.0  1.000000  1.000000     1.00
8       8        1.0  1.000000  1.000000     1.00
9       9        0.0  0.000000       NaN     1.00
10     10        1.0  1.000000  1.000000     1.00
11     11        0.0  0.000000  0.000000     0.00
12     12        1.0  0.500000  0.000000     0.00
13     13        1.0  0.500000  0.000000     0.00
14     14        0.0  0.000000  0.000000     0.00
15     15        0.0  0.000000  0.000000     0.00
16     16        1.0  1.000000  1.000000     1.00
17     17        0.0  0.000000       NaN     1.00
18     18        1.0  1.000000  0.000000     0.00
19     19        0.0  0.000000       NaN     1.00
20     20        1.0  1.000000  1.000000     1.00
21     21        1.0  1.000000  1.000000     1.00
22     22        1.0  1.000000  1.000000     1.00
23     23        0.0  0.000000       NaN     1.00
24     24        1.0  0.500000  0.000000     0.00
25     25        1.0  0.333333  1.000000     1.00
26     26        1.0  1.000000  1.000000     1.00
27     27        1.0  1.000000  1.000000     1.00
28     28        0.0  0.000000       NaN     1.00
29     29        1.0  1.000000  1.000000     1.00
30     30        0.0  0.000000       NaN     1.00
31     31        1.0  1.000000  1.000000     1.00
32     32        1.0  0.500000  0.000000     0.00
33     33        0.0  0.000000       NaN     1.00
34     34        1.0  1.000000  0.000000     0.00
35     35        0.0  0.000000  0.000000     0.00
36     36        1.0  1.000000  1.000000     1.00
37     37        1.0  1.000000  0.000000     0.00
38     38        1.0  1.000000  1.000000     1.00
39     39        0.0  0.000000  0.000000     0.00
40     40        0.0  0.000000  0.000000     0.00
41     41        0.0  0.000000  0.000000     0.00
42     42        1.0  1.000000  0.000000     0.00
43     43        0.0  0.000000  0.000000     0.00
44     44        1.0  0.666667  0.000000     0.00
45     45        1.0  1.000000  1.000000     1.00
46     46        1.0  1.000000  1.000000     1.00
47     47        1.0  1.000000  1.000000     1.00
48     48        1.0  1.000000  0.000000     0.00
49     49        0.0  0.000000  0.000000     0.00
50     50        1.0  1.000000  0.666667     0.00
51     51        1.0  1.000000  1.000000     1.00
52     52        1.0  0.750000  0.666667     0.00
53     53        1.0  0.750000  0.666667     0.00
54     54        0.0  0.000000  0.000000     0.00
55     55        1.0  0.750000  0.333333     0.00
56     56        1.0  0.750000  0.333333     0.00
57     57        1.0  0.400000  0.000000     0.00
58     58        1.0  0.800000  0.750000     0.00
