index,question,sql,data_services,pipeline,output,output_json
0,Which district in Chicago has the most community areas?,SELECT side FROM Community_Area GROUP BY side ORDER BY COUNT(side) DESC LIMIT 1,,,,
1,How many crimes were Misc Non-Index Offense?,SELECT SUM(CASE WHEN T1.title = 'Misc Non-Index Offense' THEN 1 ELSE 0 END) FROM FBI_Code AS T1 INNER JOIN Crime AS T2 ON T2.fbi_code_no = T1.fbi_code_no,,,,
2,"Among all the crimes that had happened in Central Chicago, how many of them were cases of domestic violence?",SELECT COUNT(*) FROM Crime AS T1 INNER JOIN District AS T2 ON T1.district_no = T2.district_no WHERE T2.district_name = 'Central' AND T1.domestic = 'TRUE',,,,
3,"District commander Robert A. Rubio was responsible for how many incidents in January, 2018?","SELECT SUM(CASE WHEN SUBSTR(T2.date, 5, 4) = '2018' THEN 1 ELSE 0 END) FROM District AS T1 INNER JOIN Crime AS T2 ON T1.district_no = T2.district_no WHERE T1.commander = 'Robert A. Rubio' AND SUBSTR(T2.date, 1, 1) = '1'",,,,
4,How many domestic crime cases has Commander Ronald A. Pontecore Jr. been responsible for investigating?,SELECT SUM(CASE WHEN T2.domestic = 'TRUE' THEN 1 ELSE 0 END) FROM District AS T1 INNER JOIN Crime AS T2 ON T2.district_no = T1.district_no WHERE T1.commander = 'Ronald A. Pontecore Jr.',,,,
5,How many crimes were committed at 018XX S KOMENSKY AVEin May 2018?,SELECT SUM(CASE WHEN date LIKE '5/%/2018%' THEN 1 ELSE 0 END) FROM Crime WHERE block = '018XX S KOMENSKY AVE',,,,
6,Please list the location coordinates of all the incidents that had happened in the ward represented by alderman Pat Dowell.,"SELECT T2.latitude, T2.longitude FROM Ward AS T1 INNER JOIN Crime AS T2 ON T1.ward_no = T2.ward_no WHERE T1.alderman_first_name = 'Pat' AND T1.alderman_last_name = 'Dowell' AND T2.latitude IS NOT NULL AND T2.longitude IS NOT NULL",,,,
7,"Which district commander was responsible for more incidents in January, 2018, Robert A. Rubio or Glenn White?","SELECT T1.commander FROM District AS T1 INNER JOIN Crime AS T2 ON T1.district_no = T2.district_no WHERE T1.commander IN ('Robert A. Rubio', 'Glenn White') AND SUBSTR(T2.date, 1, 1) = '1' AND SUBSTR(T2.date, 5, 4) = '2018' GROUP BY T1.commander",,,,
8,"How many aldermen have ""James"" as their first name?",SELECT COUNT(*) FROM Ward WHERE alderman_first_name = 'James',"brief_description: Data service that provides data in a dataframe format about IUCR codes and their descriptions. - detailed_description: Data service that provides data in a dataframe format about IUCR codes and their descriptions. Each data entry has the following attributes: iucr_no, primary_description, secondary_description, and index_code. The attribute 'iucr_no' is unique for each IUCR code. The 'primary_description' and 'secondary_description' provide detailed information about the type of crime. The 'index_code' is a classification code for the crime. - usage_example:  - If I want to obtain all the information for the IUCR code 110, I can write: iucr_no = ('110', 'EQUAL') # The function name to retrieve the data always follows the pattern GetDataFrom + module, where module is the value of the module field further down (in this case 'IUCR'). # Please keep the same capitalization as the value in the module field (in this case uppercase) iucr_service = GetDataFromIUCR() iucr_service.open_connection() iucr_df = iucr_service.call(iucr_no=iucr_no) # assuming the result is a pandas dataframe print(iucr_df.shape) - input_parameters: ['iucr_no:text', 'primary_description:text', 'secondary_description:text', 'index_code:text'] - output_values: ['IUCR_df:pandas.DataFrame'] - module: IUCR - class_name: GetDataFromIUCRbrief_description: Data service that provides data in a dataframe format about community areas in Chicago, including their names, sides, and populations. - detailed_description: Data service that provides data in a dataframe format about community areas in Chicago. Each data entry has the following attributes: community_area_no, community_area_name, side, and population. The attribute 'community_area_no' is unique for each community area. The attribute 'community_area_name' is the name of the community area. The attribute 'side' indicates the geographical side of Chicago where the community area is located. The attribute 'population' represents the population of the community area and is stored as a string with commas separating thousands. - usage_example: - If I want to obtain all the information from the community area with community_area_no 1, I can write:
communityareano = ('1', 'EQUAL')
# The function name to retrieve the data always follows the pattern GetDataFrom + module, where module is the value of the module field further down (in this case 'communityarea').
# Please keep the same capitalization as the value in the module field (in this case lowercase)
community_area = GetDataFromcommunityarea()
community_area.open_connection()
community_area_df = community_area.call(communityareano=communityareano)
# assuming the result is a pandas dataframe
