precision,recall,acc_cell,acc_row
0.0,0.0,0.0,0.0
1.0,0.8,0.75,0.0
1.0,0.8,0.75,0.0
1.0,0.4,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.8,0.75,0.0
0.0,0.0,0.0,0.0
1.0,0.8,0.75,0.0
1.0,0.8,0.75,0.0
0.0,0.0,0.0,0.0
1.0,0.8,0.75,0.0
1.0,0.8,0.75,0.0
0.0,0.0,0.0,0.0
1.0,0.4,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.8,0.75,0.0
1.0,0.8,0.75,0.0
1.0,0.8,0.75,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.8,0.75,0.0
1.0,0.8,0.75,0.0
1.0,0.4,0.0,0.0
1.0,0.8,0.75,0.0
0.0,0.0,0.0,0.0
1.0,0.4,0.0,0.0
1.0,0.8,0.75,0.0
1.0,0.8,0.75,0.0
1.0,0.8,0.75,0.0
1.0,0.8,0.75,0.0
