index,tools_prediction,ground_truth
0,[employee],['employee']
1,[employee],['employee']
2,[employee],['employee']
3,[position],['position']
4,[position],['position']
5,"[employee, location]","['employee', 'location']"
6,"[employee, location]","['employee', 'location']"
7,"[employee, location]","['employee', 'location']"
8,"[employee, location]","['employee', 'location']"
9,"[position, employee]","['employee', 'position']"
10,"[employee, position]","['employee', 'position']"
11,"[employee, location, position]","['employee', 'position', 'location']"
12,"[position, employee]","['employee', 'position']"
13,"[employee, position]","['employee', 'position']"
14,"[employee, location]","['employee', 'location']"
15,"[employee, location]","['employee', 'location']"
16,"[position]
[employee]","['employee', 'position']"
17,"[position, employee]","['employee', 'position']"
18,"[employee, position]","['employee', 'position']"
19,[employee],['employee']
20,"[employee, location]","['employee', 'location']"
21,"[employee, location]","['employee', 'location']"
22,"[employee, position]","['employee', 'position']"
23,"[location, employee]","['employee', 'location']"
24,"[employee, location]","['employee', 'location']"
25,[employee],"['employee', 'location']"
26,"[position, location, employee]","['employee', 'position', 'location']"
27,"[employee, position]","['employee', 'position']"
28,"[employee, location]","['employee', 'position', 'location']"
29,"[employee, position]","['employee', 'position']"
30,"[employee, position]","['employee', 'position']"
31,[employee],['employee']
32,[employee],['employee']
33,[position],['position']
34,[employee],['employee']
35,[position],['position']
36,"[employee, location]","['employee', 'location']"
37,"[position, employee]","['employee', 'position']"
38,"[position, employee]","['employee', 'position']"
39,[employee],"['employee', 'position']"
40,"[employee, position]","['employee', 'position']"
41,"[position, location, employee]","['employee', 'position', 'location']"
42,[employee],"['employee', 'position']"
43,"[employee, location, position]","['employee', 'position', 'location']"
44,[employee],['employee']
45,[location],['location']
46,[location],['location']
47,[position],['position']
48,[position],['position']
49,[employee],"['employee', 'position']"
50,[employee],"['employee', 'position']"
51,"[employee, position]","['employee', 'position']"
52,"[employee, location, position]","['employee', 'position', 'location']"
53,"[employee, location]","['employee', 'location']"
54,"[employee, location, position]","['employee', 'position', 'location']"
55,"[position, employee]","['employee', 'position']"
56,"[employee, location]","['employee', 'location']"
57,"[employee, location, position]","['employee', 'position', 'location']"
58,"[employee, location, position]","['employee', 'position', 'location']"
