index,tools_prediction,ground_truth
0,"[""matchs""]",['matchs']
1,"[""divisions""]",['divisions']
2,"[""matchs""]",['matchs']
3,"[""matchs""]",['matchs']
4,"[""matchs""]",['matchs']
5,"[""matchs""]",['matchs']
6,"[""matchs""]",['matchs']
7,"[""divisions"", ""matchs""]","['divisions', 'matchs']"
8,"[""matchs""]","['divisions', 'matchs']"
9,"[""divisions"", ""matchs""]","['divisions', 'matchs']"
10,"[""matchs""]","['divisions', 'matchs']"
11,"[""matchs""]","['divisions', 'matchs']"
12,"[""divisions"", ""matchs""]","['(', 'divisions', 'matchs']"
13,"[""matchs""]",['matchs']
14,"[""matchs""]",['matchs']
15,"[""matchs""]",['matchs']
16,"[""matchs""]",['matchs']
17,"[""matchs""]",['matchs']
18,"[""matchs""]","['divisions', 'matchs']"
19,"[""matchs""]","['divisions', 'matchs']"
20,"[""matchs"", ""divisions""]","['divisions', 'matchs']"
21,"[""matchs""]","['divisions', 'matchs']"
22,"[""matchs""]","['divisions', 'matchs']"
23,"[""matchs""]","['divisions', 'matchs']"
24,"[""matchs""]","['divisions', 'matchs']"
25,"[""matchs""]","['divisions', 'matchs']"
26,"[""divisions""]",['divisions']
27,"[""divisions""]",['divisions']
28,"[""matchs""]",['matchs']
29,"[""matchs""]",['matchs']
30,"[""matchs""]",['matchs']
31,"[""matchs""]","['divisions', 'matchs']"
32,"[""divisions"", ""matchs""]","['divisions', 'matchs']"
33,"[""matchs""]","['divisions', 'matchs']"
34,"[""matchs""]","['divisions', 'matchs']"
35,"[""matchs""]","['divisions', 'matchs']"
36,"[""matchs""]","['divisions', 'matchs']"
37,"[""matchs""]","['divisions', 'matchs']"
38,"[""matchs"", ""divisions""]","['divisions', 'matchs']"
39,"[""divisions"", ""matchs""]","['divisions', 'matchs']"
40,"[""matchs""]","['divisions', 'matchs']"
41,"[""divisions"", ""matchs""]","['divisions', 'matchs']"
42,"[""divisions"", ""matchs""]","['divisions', 'matchs']"
43,"[""divisions"", ""matchs""]","['divisions', 'matchs']"
44,"[""matchs""]","['divisions', 'matchs']"
45,"[""matchs""]","['divisions', 'matchs']"
46,"[""matchs""]","['divisions', 'matchs']"
47,"[""matchs""]","['divisions', 'matchs']"
48,"[""divisions"", ""matchs""]","['divisions', 'matchs']"
49,"[""matchs""]","['divisions', 'matchs']"
50,"[""matchs""]","['divisions', 'matchs']"
51,"[""matchs""]","['divisions', 'matchs']"
52,"[""matchs""]","['divisions', 'matchs']"
53,"[""matchs""]","['divisions', 'matchs']"
54,"[""matchs""]","['divisions', 'matchs']"
55,"[""matchs""]","['divisions', 'matchs']"
56,"[""divisions"", ""matchs""]","['divisions', 'matchs']"
