index,accuracy,recall
0,1.0,1.0
1,1.0,1.0
2,1.0,1.0
3,1.0,1.0
4,1.0,1.0
5,1.0,1.0
6,1.0,1.0
7,1.0,1.0
8,0.5,0.5
9,1.0,1.0
10,0.5,0.5
11,0.5,0.5
12,0.6666666666666666,0.6666666666666666
13,1.0,1.0
14,1.0,1.0
15,1.0,1.0
16,1.0,1.0
17,1.0,1.0
18,0.5,0.5
19,0.5,0.5
20,1.0,1.0
21,0.5,0.5
22,0.5,0.5
23,0.5,0.5
24,0.5,0.5
25,0.5,0.5
26,1.0,1.0
27,1.0,1.0
28,1.0,1.0
29,1.0,1.0
30,1.0,1.0
31,0.5,0.5
32,1.0,1.0
33,0.5,0.5
34,0.5,0.5
35,0.5,0.5
36,0.5,0.5
37,0.5,0.5
38,1.0,1.0
39,1.0,1.0
40,0.5,0.5
41,1.0,1.0
42,1.0,1.0
43,1.0,1.0
44,0.5,0.5
45,0.5,0.5
46,0.5,0.5
47,0.5,0.5
48,1.0,1.0
49,0.5,0.5
50,0.5,0.5
51,0.5,0.5
52,0.5,0.5
53,0.5,0.5
54,0.5,0.5
55,0.5,0.5
56,1.0,1.0
